_id.authPayerId,_id.firstSix,_id.merchantId,_id.threeDsProviderName,_id.createdAt,_id.terminal_id,_id.eci,_id.transStatus,_id.authenticationStatus,_id.directoryServerErrorCode,_id.directoryServerErrorDescription,_id.veresEnrolled,_id.paresStatus,_id.authenticationResult,_id.statusReasonCode,_id.result,count
auth_payer_5KIZ56241120EQbA14Ah7a871,485932,20189822,CYBERSOURCE,2024-08-14T11:20:56.871Z,ter_352f806f61114893b8ad32e5,07,R,FAILED,[],[],["Y"],["R"],[],[],"[""AUTHENTICATION_FAILED"",""COMPLETED""]",1
auth_payer_qNdD13241122gdIO14nc7s508,445827,20189822,CYBERSOURCE,2024-08-14T11:22:13.508Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_10US56241124B9Hz14cF7I121,445827,20189822,CYBERSOURCE,2024-08-14T11:24:56.121Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_99tv59241124pyLU14sJ7Y937,445827,20189822,CYBERSOURCE,2024-08-14T11:24:59.937Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_ds9i15241126NTmi14cY72627,445827,20189822,CYBERSOURCE,2024-08-14T11:26:15.627Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_49Tz51241126Wsjm14kg7B384,445827,20189822,CYBERSOURCE,2024-08-14T11:26:51.384Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_Ll4N18241127jVBb14Bl7g821,445827,20189822,CYBERSOURCE,2024-08-14T11:27:18.821Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_Ojk019241128Qmzj14Dq7620,445827,20189822,CYBERSOURCE,2024-08-14T11:28:19.021Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_qsgn25241129N4G814y27d314,445827,20189822,CYBERSOURCE,2024-08-14T11:29:25.314Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_CphX6241130gioV14An7d518,445827,20189822,CYBERSOURCE,2024-08-14T11:30:06.518Z,ter_352f806f61114893b8ad32e5,,,PENDING,[],[],["Y"],[],[],[],"[""PENDING_AUTHENTICATION"",""COMPLETED""]",1
auth_payer_VpRy31241130e6J314DW7E99,454887,20189822,CYBERSOURCE,2024-08-14T11:30:31.099Z,ter_352f806f61114893b8ad32e5,,,INITIATED,[],[],[],[],[],[],["COMPLETED"],1
auth_payer_etdz39241131TLGN148n7L904,445827,20189822,CYBERSOURCE,2024-08-14T11:31:39.904Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_oyQn1241133hcl214Z47J425,445827,20189822,CYBERSOURCE,2024-08-14T11:33:01.426Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_Xf5v232411357Kbp148H7h978,524197,20189822,CYBERSOURCE,2024-08-14T11:35:23.978Z,ter_352f806f61114893b8ad32e5,02,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_JWds0241136S2LL14vN7h287,445827,20189822,CYBERSOURCE,2024-08-14T11:36:00.287Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_uUS735241136MvAS143n7946,445827,20189822,CYBERSOURCE,2024-08-14T11:36:35.046Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
